Team,WINS,LOSSES,WIN PERCENT,PLAYOFFS,OVERALL,OFFENSE,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
Arizona Cardinals,11,6,0.647,1,76.5,73.8,82.8,66.3,78.7,68,52.2,62.2,49.4,51.3,77.1,58.6,85.8
Atlanta Falcons,7,10,0.412,0,69.3,74.4,72.1,52.4,76.5,60.5,80.2,48.8,43.1,44.1,52.3,51.5,82.8
Baltimore Ravens,8,9,0.471,0,80.4,75.5,66,69.7,72.2,82.5,72.3,62.5,61.1,49.1,70.3,48.6,87.5
Buffalo Bills,11,6,0.647,1,89.2,81.2,81.1,69,79.4,92.7,58.6,72,55.3,57.9,75.6,84.1,88.3
Carolina Panthers,5,12,0.294,0,63.1,60.3,49.7,53.9,63.1,72.6,58.8,62.6,52.2,50.5,74.3,62.7,76.3
Chicago Bears,6,11,0.353,0,68.9,70.1,61.6,66.8,69.5,82.5,63.4,52.2,37.1,53,73.3,57.5,90.6
Cincinnati Bengals,10,7,0.588,1,87.8,80.6,90,53.1,82.6,82.2,64.1,67,47.8,54.6,69.4,77.9,91
Cleveland Browns,8,9,0.471,0,86.5,77.5,61.4,70.3,68.8,89.9,85.6,75.3,54.4,58.2,78.4,90.6,90.5
Dallas Cowboys,12,5,0.706,1,92.4,88.4,82.6,79.8,83.8,83.6,87.1,66.6,43.3,63.1,78.7,80.5,83.7
Denver Broncos,7,10,0.412,0,75.6,75.7,68.7,71.4,74.2,85.2,67.1,57.9,51.6,56.3,61.6,60.1,80.6
Detroit Lions,3.5,13.5,0.206,0,62.2,69.2,59.6,65.4,71.5,71.7,66.8,44.4,36.2,32.7,64.8,35.8,80.8
Green Bay Packers,13,4,0.765,1,89.2,82.1,80,73.6,80.1,91.1,61.8,76.8,55.9,78.1,84.2,81.5,59.1
Houston Texans,4,13,0.235,0,55.6,61.6,56.4,59.2,71.6,60,48,48.3,44.8,43.4,72.3,32,71.9
Indianapolis Colts,8,9,0.471,0,84.5,75.6,66.7,59.2,70.8,89.4,78.6,73.5,71.8,63.5,71.2,68.9,91
Jacksonville Jaguars,3,14,0.176,0,59.2,64.5,59.5,70.1,63.8,72.9,57.8,50.7,40.6,53.5,68.1,46.3,68.4
Kansas City Chiefs,12,5,0.706,1,89.8,82.3,74.9,75.8,78.5,77.4,86,69.7,53.3,69.1,70.6,81.4,90.7
Las Vegas Raiders,10,7,0.588,1,78.9,74.9,77.5,64,78.7,78.7,55.2,64.2,46.4,61.6,79.7,68.4,76.7
Los Angeles Chargers,9,8,0.529,0,80.2,80.6,85.7,67.4,76.2,73.5,75.6,60.9,50.8,48.5,74.1,62.1,68.6
Los Angeles Rams,12,5,0.706,1,94.5,85.7,84.1,81.3,83.3,70.7,77,87.9,87.4,66,90,75.9,80
Miami Dolphins,9,8,0.529,0,75.8,67.8,71.5,51.8,73.9,64.7,53.7,74,66.9,49.4,73.4,76.5,81.5
Minnesota Vikings,8,9,0.471,0,80.7,78.1,84.9,54.7,80.6,68.7,69.1,62.6,49.9,77,72.6,63.1,89.4
New England Patriots,10,7,0.588,1,92.2,85.9,80.2,71.1,80,91.2,79.8,72.2,60.3,76.7,68.6,85.2,90.6
New Orleans Saints,9,8,0.529,0,83.9,69.8,63.2,64.8,70.4,82.3,60.1,81.9,82.5,54.9,69.1,87.3,91.5
New York Giants,4,13,0.235,0,60.3,60.4,53,52.9,63.5,65.1,64,58.7,47.1,76.1,64.7,62.6,65
New York Jets,4,13,0.235,0,62.8,68.6,56.2,64.4,65.7,82.1,74.1,46.1,38,64,68.8,37.9,91
Philadelphia Eagles,9,8,0.529,1,86.4,82.2,68.2,79.4,76.1,87,83.8,65.2,48.6,80.3,79.9,69.8,84.3
Pittsburgh Steelers,9.5,7.5,0.559,1,68.1,64.1,54.3,67.7,66.9,71.5,58.5,64.2,55.2,57.2,81.4,51.6,74.6
San Francisco 49ers,10,7,0.588,1,92.1,84.9,69.5,73,87.1,78.4,86,74.5,68.5,70.8,80.4,68.3,79.1
Seattle Seahawks,7,10,0.412,0,76.4,74.5,72.3,55.6,73.9,86,67.4,65.7,73.7,66.3,63.5,52.2,57.6
Tampa Bay Buccaneers,13,4,0.765,1,90.9,84.7,90.5,77.4,77.4,84.5,72.5,69.9,57.5,46.7,66,85.6,71
Tennessee Titans,12,5,0.706,1,84.5,78,81,54.1,75.7,77.9,75.6,71.4,59.9,59.5,66.3,83.7,87.8
Washington Football Team,7,10,0.412,0,77.8,73.2,58.5,78.3,70.7,64.6,80.2,66.9,70.5,72.7,74.6,50.1,76
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,